Article,Morph,Jewish,Person,Number,Tense,Mood,Voice,Gender,Case,Degree,Strength,Inflection,-2form,-2lemma,-2morph,-2person,-2number,-2tense,-2mood,-2voice,-2gender,-2case,-2degree,-2strength,-2inflection,-1form,-1lemma,-1morph,-1person,-1number,-1tense,-1mood,-1voice,-1gender,-1case,-1degree,-1strength,-1inflection,1form,1lemma,1morph,1person,1number,1tense,1mood,1voice,1gender,1case,1degree,1strength,1inflection,2form,2lemma,2morph,2person,2number,2tense,2mood,2voice,2gender,2case,2degree,2strength,2inflection,3form,3lemma,3morph,3person,3number,3tense,3mood,3voice,3gender,3case,3degree,3strength,3inflection,Answer
τα,-p---nn--i,yes,-,p,-,-,-,n,n,-,-,i,σεσηπεν,σηπω,3sria----i,3,s,r,i,a,-,-,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ιματια,ιματιον,-p---nn--i,-,p,-,-,-,n,n,-,-,i,υμων,υμεις,2p---mg--i,2,p,-,-,-,m,g,-,-,i,σητοβρωτα,σητοβρωτος,-p---nnp-i,-,p,-,-,-,n,n,p,-,i,2
τα,-p---na--i,yes,-,p,-,-,-,n,a,-,-,i,οτι,οτι,---------n,-,-,-,-,-,-,-,-,-,n,εγω,εγω,1s---mn--i,1,s,-,-,-,m,n,-,-,i,αρεστα,αρεστος,-p---nap-i,-,p,-,-,-,n,a,p,-,i,αυτω,αυτος,3s---md--i,3,s,-,-,-,m,d,-,-,i,ποιω,ποιεω,1spia----i,1,s,p,i,a,-,-,-,-,i,2
των,-p---fg--i,no,-,p,-,-,-,f,g,-,-,i,δη,δη,---------n,-,-,-,-,-,-,-,-,-,n,δυο,δυο,---------n,-,-,-,-,-,-,-,-,-,n,νεων,ναυς,-p---fg--i,-,p,-,-,-,f,g,-,-,i,ουτω,ουτως,---------n,-,-,-,-,-,-,-,-,-,n,εχειρωθησαν,χειροω,3paip----i,3,p,a,i,p,-,-,-,-,i,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,γραμμα,γραμμα,-s---nn--i,-,s,-,-,-,n,n,-,-,i,αποκτεννει,αποκτεινω,3spia----i,3,s,p,i,a,-,-,-,-,i,γαρ,γαρ,---------n,-,-,-,-,-,-,-,-,-,n,γραμμα,γραμμα,-s---nn--i,-,s,-,-,-,n,n,-,-,i,αποκτεννει,αποκτεινω,3spia----i,3,s,p,i,a,-,-,-,-,i,3
η,-s---fn--i,yes,-,s,-,-,-,f,n,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,ιουδαιων,ιουδαιος,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,σκηνοπηγια,σκηνοπηγια,-s---fn--i,-,s,-,-,-,f,n,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,λεγομενος,λεγω,-spppmn--i,-,s,p,p,p,m,n,-,-,i,ιουστος,ιουστος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,οντες,ειμι,-pppamn--i,-,p,p,p,a,m,n,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,περιτομης,περιτομη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,τον,ο,-s---ma--i,-,s,-,-,-,m,a,-,-,i,αγρον,αγρος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,2
τας,-p---fa--i,yes,-,p,-,-,-,f,a,-,-,i,δυναμενον,δυναμαι,-sppmma--i,-,s,p,p,m,m,a,-,-,i,σωσαι,σωζω,--ana----i,-,-,a,n,a,-,-,-,-,i,ψυχας,ψυχη,-p---fa--i,-,p,-,-,-,f,a,-,-,i,υμων,υμεις,2p---mg--i,2,p,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---mg--i,no,-,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ου,ου,---------n,-,-,-,-,-,-,-,-,-,n,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---na--i,no,-,s,-,-,-,n,a,-,-,i,ιεναι,ειμι,--pna----i,-,-,p,n,a,-,-,-,-,i,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,μεγαρον,μεγαρον,-s---na--i,-,s,-,-,-,n,a,-,-,i,ο,ος,-s---na--i,-,s,-,-,-,n,a,-,-,i,τι,τις,-s---na--i,-,s,-,-,-,n,a,-,-,i,2
τους,-p---ma--i,yes,-,p,-,-,-,m,a,-,-,i,ηρξατο,αρχω,3saim----i,3,s,a,i,m,-,-,-,-,i,βρεχειν,βρεχω,--pna----i,-,-,p,n,a,-,-,-,-,i,ποδας,πους,-p---ma--i,-,p,-,-,-,m,a,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
τοις,-p---nd--i,yes,-,p,-,-,-,n,d,-,-,i,εξεστιν,εξεστι,3spia----i,3,s,p,i,a,-,-,-,-,i,ποιειν,ποιεω,--pna----i,-,-,p,n,a,-,-,-,-,i,σαββασιν,σαββατον,-p---nd--i,-,p,-,-,-,n,d,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
τα,-p---na--i,no,-,p,-,-,-,n,a,-,-,i,τραπεσθαι,τρεπω,--anm----i,-,-,a,n,m,-,-,-,-,i,προς,προς,---------n,-,-,-,-,-,-,-,-,-,n,αγαλματα,αγαλμα,-p---na--i,-,p,-,-,-,n,a,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,ων,ειμι,-sppamn--i,-,s,p,p,a,m,n,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,αληθειας,αληθεια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ακουει,ακουω,3spia----i,3,s,p,i,a,-,-,-,-,i,μου,εγω,1s---mg--i,1,s,-,-,-,m,g,-,-,i,2
η,-s---fn--i,yes,-,s,-,-,-,f,n,-,-,i,παντων,πας,-p---og--i,-,p,-,-,-,o,g,-,-,i,ανθρωπων,ανθρωπος,-p---mg--i,-,p,-,-,-,m,g,-,-,i,επιστολη,επιστολη,-s---fn--i,-,s,-,-,-,f,n,-,-,i,ημων,ημεις,1p---mg--i,1,p,-,-,-,m,g,-,-,i,υμεις,υμεις,2p---mn--i,2,p,-,-,-,m,n,-,-,i,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,εφ’,επι,---------n,-,-,-,-,-,-,-,-,-,n,ολην,ολος,-s---fap-i,-,s,-,-,-,f,a,p,-,i,γην,γη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,εως,εως,---------n,-,-,-,-,-,-,-,-,-,n,ωρας,ωρα,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,πατερα,πατηρ,-s---ma--i,-,s,-,-,-,m,a,-,-,i,εχομεν,εχω,1ppia----i,1,p,p,i,a,-,-,-,-,i,αβρααμ,αβρααμ,---------n,-,-,-,-,-,-,-,-,-,n,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,υπεστρεψαν,υποστρεφω,3paia----i,3,p,a,i,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εβδομηκοντα,εβδομηκοντα,---------n,-,-,-,-,-,-,-,-,-,n,μετα,μετα,---------n,-,-,-,-,-,-,-,-,-,n,χαρας,χαρα,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,τον,ο,-s---ma--i,-,s,-,-,-,m,a,-,-,i,στεφανον,στεφανος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ζωης,ζωη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,χαραν,χαρα,-s---fa--i,-,s,-,-,-,f,a,-,-,i,κυριου,κυριος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,σου,συ,2s---pg--i,2,s,-,-,-,p,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ο,-s---mn--i,no,-,s,-,-,-,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εσσουμενος,ησσαομαι,-sppmmn--i,-,s,p,p,m,m,n,-,-,i,ισαγορης,ισαγορης,-s---mn--i,-,s,-,-,-,m,n,-,-,i,αντιτεχναται,αντιτεχναομαι,3spim----i,3,s,p,i,m,-,-,-,-,i,ταδε,οδε,-p---na--i,-,p,-,-,-,n,a,-,-,i,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,κοσμου,κοσμος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,δοξαν,δοξα,-s---fa--i,-,s,-,-,-,f,a,-,-,i,αυτων,αυτος,3p---fg--i,3,p,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
τω,-s---od--i,no,-,s,-,-,-,o,d,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,αυτω,αυτος,-s---od--i,-,s,-,-,-,o,d,-,-,i,ιρω,ιερον,-s---nd--i,-,s,-,-,-,n,d,-,-,i,οι,ο,-p---mn--i,-,p,-,-,-,m,n,-,-,i,νεηνιαι,νεανιης,-p---mn--i,-,p,-,-,-,m,n,-,-,i,2
του,-s---ng--i,yes,-,s,-,-,-,n,g,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,λοιπων,λοιπος,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,σπερματος,σπερμα,-s---ng--i,-,s,-,-,-,n,g,-,-,i,αυτης,αυτος,3s---fg--i,3,s,-,-,-,f,g,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,γης,γη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,λαβε,λαμβανω,2sama----i,2,s,a,m,a,-,-,-,-,i,βιβλαριδιον,βιβλαριδιον,-s---na--i,-,s,-,-,-,n,a,-,-,i,το,ο,-s---na--i,-,s,-,-,-,n,a,-,-,i,ηνεωγμενον,ανοιγνυμι,-srppna--i,-,s,r,p,p,n,a,-,-,i,2
τον,-s---ma--i,no,-,s,-,-,-,m,a,-,-,i,απεκτονεε,αποκτεινω,3slia----i,3,s,l,i,a,-,-,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,γαμβρον,γαμβρος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,τυδεα,τυδευς,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
τοισι,-p---md--i,no,-,p,-,-,-,m,d,-,-,i,παντα,πας,-p---nn--i,-,p,-,-,-,n,n,-,-,i,συνελθοντα,συνερχομαι,-papann--i,-,p,a,p,a,n,n,-,-,i,αργειοισι,αργειος,-p---mdp-i,-,p,-,-,-,m,d,p,-,i,φοβον,φοβος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,παρειχε,παρεχω,3siia----i,3,s,i,i,a,-,-,-,-,i,2
ο,-s---mn--i,no,-,s,-,-,-,m,n,-,-,i,ως,ως,---------n,-,-,-,-,-,-,-,-,-,n,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,παρα,παρα,---------n,-,-,-,-,-,-,-,-,-,n,περσεων,περσης,-p---mg--i,-,p,-,-,-,m,g,-,-,i,λογος,λογος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,4
τους,-p---ma--i,no,-,p,-,-,-,m,a,-,-,i,λεγουσι,λεγω,3ppia----i,3,p,p,i,a,-,-,-,-,i,αιγυπτιους,αιγυπτιος,-p---map-i,-,p,-,-,-,m,a,p,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ακρισιου,ακρισιος,-s---md--i,-,s,-,-,-,m,d,-,-,i,γε,γε,---------n,-,-,-,-,-,-,-,-,-,n,5
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,τον,ο,-s---ma--i,-,s,-,-,-,m,a,-,-,i,αραβωνα,αρραβων,-s---ma--i,-,s,-,-,-,m,a,-,-,i,πνευματος,πνευμα,-s---ng--i,-,s,-,-,-,n,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,ταις,ο,-p---fd--i,-,p,-,-,-,f,d,-,-,i,2
τους,-p---ma--i,no,-,p,-,-,-,m,a,-,-,i,γραφω,γραφω,1spia----i,1,s,p,i,a,-,-,-,-,i,τουτους,ουτος,-p---ma--i,-,p,-,-,-,m,a,-,-,i,δωριεων,δωριευς,-p---mg--i,-,p,-,-,-,m,g,-,-,i,βασιλεας,βασιλευς,-p---ma--i,-,p,-,-,-,m,a,-,-,i,μεχρι,μεχρι,---------n,-,-,-,-,-,-,-,-,-,n,3
τον,-s---ma--i,no,-,s,-,-,-,m,a,-,-,i,παρα,παρα,---------n,-,-,-,-,-,-,-,-,-,n,γελωνα,γελων,-s---ma--i,-,s,-,-,-,m,a,-,-,i,δεινομενεος,δεινομενης,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,2
του,-s---og--i,no,-,s,-,-,-,o,g,-,-,i,μυτιληναιοι,μυτιληναιος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,επιπεμποντος,επιπεμπω,-sppamg--i,-,s,p,p,a,m,g,-,-,i,μαζαρεος,μαζαρης,-s---mg--i,-,s,-,-,-,m,g,-,-,i,αγγελιας,αγγελια,-p---fa--i,-,p,-,-,-,f,a,-,-,i,εκδιδοναι,εκδιδωμι,--pna----i,-,-,p,n,a,-,-,-,-,i,2
ταις,-p---fd--i,yes,-,p,-,-,-,f,d,-,-,i,ενγεγραμμενη,εγγραφω,-srppfn--i,-,s,r,p,p,f,n,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,καρδιαις,καρδια,-p---fd--i,-,p,-,-,-,f,d,-,-,i,ημων,ημεις,1p---mg--i,1,p,-,-,-,m,g,-,-,i,γινωσκομενη,γιγνωσκω,-spppfn--i,-,s,p,p,p,f,n,-,-,i,2
οι,3p---mn--i,yes,3,p,-,-,-,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ελεγον,λεγω,3piia----i,3,p,i,i,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ελεγον,λεγω,3piia----i,3,p,i,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,3
των,-p---qg--i,yes,-,p,-,-,-,q,g,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,δυο,δυο,---------n,-,-,-,-,-,-,-,-,-,n,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,επιθυμιαν,επιθυμια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
αι,-p---fn--i,yes,-,p,-,-,-,f,n,-,-,i,αυτω,αυτος,3s---md--i,3,s,-,-,-,m,d,-,-,i,πασαι,πας,-p---fn--i,-,p,-,-,-,f,n,-,-,i,χηραι,χηρα,-p---fn--i,-,p,-,-,-,f,n,-,-,i,κλαιουσαι,κλαιω,-pppafn--i,-,p,p,p,a,f,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
των,-p---qg--i,yes,-,p,-,-,-,q,g,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,σπλαγχνα,σπλαγχνον,-p---nn--i,-,p,-,-,-,n,n,-,-,i,αγιων,αγιος,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,αναπεπαυται,αναπαυω,3srip----i,3,s,r,i,p,-,-,-,-,i,δια,δια,---------n,-,-,-,-,-,-,-,-,-,n,2
αι,-p---fn--i,no,-,p,-,-,-,f,n,-,-,i,χρησμον,χρησμος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ως,ως,---------n,-,-,-,-,-,-,-,-,-,n,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,λημνω,λημνος,-s---fd--i,-,s,-,-,-,f,d,-,-,i,επικειμεναι,επικειμαι,-pppmfn--i,-,p,p,p,m,f,n,-,-,i,5
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,απεστειλας,αποστελλω,2saia----i,2,s,a,i,a,-,-,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,κοσμον,κοσμος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,εγω,εγω,1s---mn--i,1,s,-,-,-,m,n,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,το,ο,-s---na--i,-,s,-,-,-,n,a,-,-,i,πυρ,πυρ,-s---na--i,-,s,-,-,-,n,a,-,-,i,ασβεστον,ασβεστος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,αποκριθεις,αποκρινω,-sappmn--i,-,s,a,p,p,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ετερος,ετερος,-s---mnp-i,-,s,-,-,-,m,n,p,-,i,επιτιμων,επιτιμεω,-sppamn--i,-,s,p,p,a,m,n,-,-,i,αυτω,αυτος,3s---md--i,3,s,-,-,-,m,d,-,-,i,2
των,-p---qg--i,yes,-,p,-,-,-,q,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,παντων,πας,-p---og--i,-,p,-,-,-,o,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,υπεροχη,υπεροχη,-s---fd--i,-,s,-,-,-,f,d,-,-,i,οντων,ειμι,-pppamg--i,-,p,p,p,a,m,g,-,-,i,4
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,οπισθε,οπισθεν,---------n,-,-,-,-,-,-,-,-,-,n,αυτις,αυθις,---------n,-,-,-,-,-,-,-,-,-,n,πολιος,πολις,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ταξας,τασσω,-sapamn--i,-,s,a,p,a,m,n,-,-,i,ετερους,ετερος,-p---map-i,-,p,-,-,-,m,a,p,-,i,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,οτι,οτι,---------n,-,-,-,-,-,-,-,-,-,n,αγαπω,αγαπαω,1spia----i,1,s,p,i,a,-,-,-,-,i,πατερα,πατηρ,-s---ma--i,-,s,-,-,-,m,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,καθως,καθως,---------n,-,-,-,-,-,-,-,-,-,n,2
τοις,-p---md--i,yes,-,p,-,-,-,m,d,-,-,i,λελυμενον,λυω,-srppnn--i,-,s,r,p,p,n,n,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,ουρανοις,ουρανος,-p---md--i,-,p,-,-,-,m,d,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,μεμισηκεν,μισεω,3sria----i,3,s,r,i,a,-,-,-,-,i,ει,ει,---------n,-,-,-,-,-,-,-,-,-,n,κοσμος,κοσμος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,υμας,υμεις,2p---pa--i,2,p,-,-,-,p,a,-,-,i,μισει,μισεω,3spia----i,3,s,p,i,a,-,-,-,-,i,2
τη,-s---fd--i,yes,-,s,-,-,-,f,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,καταργησει,καταργεω,3sfia----i,3,s,f,i,a,-,-,-,-,i,επιφανεια,επιφανεια,-s---fd--i,-,s,-,-,-,f,d,-,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,παρουσιας,παρουσια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,δια,δια,---------n,-,-,-,-,-,-,-,-,-,n,παρακλησεως,παρακλησις,-s---fg--i,-,s,-,-,-,f,g,-,-,i,των,ο,-p---qg--i,-,p,-,-,-,q,g,-,-,i,γραφων,γραφη,-p---fg--i,-,p,-,-,-,f,g,-,-,i,2
των,-p---mg--i,yes,-,p,-,-,-,m,g,-,-,i,βηθανιαν,βηθανια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,μετα,μετα,---------n,-,-,-,-,-,-,-,-,-,n,δωδεκα,δωδεκα,---------n,-,-,-,-,-,-,-,-,-,n,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,βουλομενος,βουλομαι,-sppmmn--i,-,s,p,p,m,m,n,-,-,i,διασωσαι,διασωζω,--ana----i,-,-,a,n,a,-,-,-,-,i,παυλον,παυλος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,εκωλυσεν,κωλυω,3saia----i,3,s,a,i,a,-,-,-,-,i,αυτους,αυτος,3p---ma--i,3,p,-,-,-,m,a,-,-,i,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,εγενετο,γιγνομαι,3saim----i,3,s,a,i,m,-,-,-,-,i,τριτον,τριτος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,θαλασσης,θαλασσα,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
τα,-p---nn--i,no,-,p,-,-,-,n,n,-,-,i,αλλα,αλλα,---------n,-,-,-,-,-,-,-,-,-,n,μοι,εγω,1s---md--i,1,s,-,-,-,m,d,-,-,i,υπο,υπο,---------n,-,-,-,-,-,-,-,-,-,n,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,αρκτον,αρκτος,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
οι,3p---mn--i,yes,3,p,-,-,-,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ηπιστουν,απιστεω,3piia----i,3,p,i,i,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ηπιστουν,απιστεω,3piia----i,3,p,i,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,3
ο,-s---mn--i,no,-,s,-,-,-,m,n,-,-,i,οκη,οπη,---------n,-,-,-,-,-,-,-,-,-,n,πλεοιεν,πλεω,3ppoa----i,3,p,p,o,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ξερξης,ξερξης,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ειρετο,ερομαι,3siim----i,3,s,i,i,m,-,-,-,-,i,3
του,3s---mg--i,yes,3,s,-,-,-,m,g,-,-,i,γενος,γενος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,εσμεν,ειμι,1ppia----i,1,p,p,i,a,-,-,-,-,i,γαρ,γαρ,---------n,-,-,-,-,-,-,-,-,-,n,και,και,---------n,-,-,-,-,-,-,-,-,-,n,γενος,γενος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,4
τω,-s---nd--i,no,-,s,-,-,-,n,d,-,-,i,ουνομα,ονομα,-s---nn--i,-,s,-,-,-,n,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ορει,ορος,-s---nd--i,-,s,-,-,-,n,d,-,-,i,τουτω,ουτος,-s---nd--i,-,s,-,-,-,n,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
τα,-p---nn--i,no,-,p,-,-,-,n,n,-,-,i,παλαι,παλαι,---------n,-,-,-,-,-,-,-,-,-,n,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,καλα,καλος,-p---nnp-i,-,p,-,-,-,n,n,p,-,i,ανθρωποισι,ανθρωπος,-p---md--i,-,p,-,-,-,m,d,-,-,i,εξευρηται,εξευρισκω,3srip----i,3,s,r,i,p,-,-,-,-,i,2
